pelaaja_id,Pelaaja_Nimi,Pelaaja_Joukkue,Pelaaja_Pelipaikka,Pelaaja_Syntynyt,Pelaaja_Kansalaisuus,Pelaaja_Syntymäpaikka,Pelaaja_Ikä,Pelaaja_Pituus,Pelaaja_Paino,Pelaaja_Maila
24353539,"Huttula, Joona",Kärpät,Vasen puolustaja,7.1.1997,FIN,"Tampere, FIN",24,184,81,L
24406130,"Hermonen, Julius",Kärpät,Vasen laitahyökkääjä,20.1.1997,FIN,"Oulu, FIN",24,177,77,L
28976718,"Kotkaniemi, Jesperi",Ässät,Keskushyökkääjä,6.7.2000,FIN,"Pori, FIN",20,188,83,L
24916798,"Nieminen, Otto",Pelicans,Oikea laitahyökkääjä,8.5.1996,FIN,"Somero, FIN",24,175,87,L
28504481,"Vuorisalo, Teemu",Ässät,Oikea puolustaja,4.6.1995,FIN,"Pori, FIN",25,180,82,R
27775017,"Kanninen, Henri",HPK,Oikea laitahyökkääjä,17.10.1994,FIN,"Jyväskylä, FIN",26,190,83,L
33388362,"Koskela, Valtteri",JYP,Vasen puolustaja,20.10.2002,FIN,"Jyväskylä, FIN",18,178,71,L
21892307,"Kalteva, Mikko",JYP,Vasen puolustaja,25.5.1984,FIN,"Hyvinkää, FIN",36,192,92,L
29937154,"Ylönen, Jesse",Pelicans,Oikea laitahyökkääjä,3.10.1999,FIN,"Scottsdale, AZ, USA",21,183,73,R
31494258,"Hakanen, Santtu",HPK,Keskushyökkääjä,17.1.2001,FIN,"Tampere, FIN",20,171,78,L
60483742,"Abramov, Vitali",Jukurit,Oikea laitahyökkääjä,8.5.1998,RUS,"Tsheljabinsk, RUS",22,175,79,L
29846355,"Moilanen, Sami",Tappara,Vasen laitahyökkääjä,22.1.1999,FIN,"Sipoo, FIN",22,175,82,L
29934157,"Anttalainen, Aleksi",TPS,Vasen puolustaja,28.3.1999,FIN,"Turku, FIN",22,175,84,L
32306811,"Immonen, Severi",KalPa,Keskushyökkääjä,21.6.2000,FIN,"Tuusniemi, FIN",20,181,81,L
22441087,"Liuksiala, Juho",Sport,Vasen laitahyökkääjä,2.11.1995,FIN,"Vammala, FIN",25,173,80,R
31762087,"Räty, Aku",Kärpät,Oikea laitahyökkääjä,5.7.2001,FIN,"Oulu, FIN",19,184,80,R
25357521,"Varakas, Ville",HIFK,Vasen puolustaja,13.2.1984,FIN,"Helsinki, FIN",37,181,85,L
21650701,"Honka, Julius",Pelicans,Oikea puolustaja,3.12.1995,FIN,"Jyväskylä, FIN",25,180,84,R
34231735,"Hede, Elis",HIFK,Oikea laitahyökkääjä,20.1.2001,FIN,"Pori, FIN",20,178,70,L
31574013,"Simontaival, Kasper",Tappara,Oikea laitahyökkääjä,11.1.2002,FIN,"Orivesi, FIN",19,175,78,R
32093700,"Pyyhtiä, Mikael",TPS,Vasen laitahyökkääjä,17.12.2001,FIN,"Turku, FIN",19,182,79,L
25651492,"Suoranta, Simon",Sport,Vasen laitahyökkääjä,21.5.1992,FIN,"Vaasa, FIN",28,191,101,L
28548308,"Kuokkanen, Janne",Kärpät,Vasen laitahyökkääjä,25.5.1998,FIN,"Oulunsalo, FIN",22,185,88,L
29587960,"Berger, Martin",KooKoo,Oikea puolustaja,10.12.1996,FIN,"Turku, FIN",24,183,91,L
29859517,"Piipponen, Topi",SaiPa,Vasen laitahyökkääjä,2.5.1997,FIN,"Siilinjärvi, FIN",23,182,84,L
23775707,"Olkkonen, Joel",SaiPa,Vasen puolustaja,5.2.1993,FIN,"Hyvinkää, FIN",28,190,98,R
30039025,"Vainionpää, Samuli",TPS,Oikea laitahyökkääjä,5.10.1999,FIN,"Kangasala, FIN",21,190,94,L
27854909,"Vidgren, Aaro",Sport,Vasen laitahyökkääjä,30.5.1997,FIN,"Lohja, FIN",23,189,90,L
24127529,"Rouhiainen, Jere",Tappara,Oikea puolustaja,16.1.1996,FIN,"Tampere, FIN",25,182,78,L
29937251,"Siikanen, Patrik",JYP,Keskushyökkääjä,16.4.2000,FIN,"Espoo, FIN",21,186,90,L
29780877,"Almari, Niclas",Pelicans,Vasen puolustaja,11.5.1998,FIN,"Espoo, FIN",22,187,81,L
31228178,"Hatakka, Santeri",Ilves,Vasen puolustaja,15.1.2001,FIN,"Riihimäki, FIN",20,185,88,L
30644067,"Latvala, Otto",HPK,Oikea puolustaja,14.7.1999,FIN,"Alajärvi, FIN",21,197,92,R
